script,runtime,timestamp,server,cpu,gpu,server_sku,cpu_sku,gpu_sku,cpu_cores,model,dataset,device,dtype,quant,quant_detail,mode,replicas_raw,samples,batch_size,resolution,steps,warmup,seed,threads,compile,compile_detail,cpu_offload,batched,loaded_dtype,diffusion_batch_size,sla_seconds,sla_percentile,num_shards,gpu_placement,workload,sla_ms,think_time_s,measure_s,batch_wait_ms,pre_workers,processor,images,compute_s_max,compute_s_sum,images_per_second,images_per_second_per_w,best_batch_size,best_replicas,ms_per_image_per_replica,measured_s,cpu_launch_ms,gpu_ms,bound_by,power_w_mean,power_source,avg_ms_per_image,avg_s_per_image,denoising_steps_per_s,top1_correct,top1_accuracy,max_qps,max_concurrent_users,max_concurrent_inflight,requests_measured,p50_ms,p95_ms,p99_ms,max_ms,mean_batch_size,queue_depth_max,p95_drift,harness_lag_ms,preprocess_ms,queue_wait_ms,inference_ms,cpu_logical_count,cpu_cores_busy_mean,sys_cores_busy_mean,sys_cores_busy_max,cpu_power_w_mean,cpu_cores_busy_max,proc_cpu_pct_mean,sys_cpu_pct_mean,rss_gib_max,threads_max,gpu_util_pct_mean,gpu_mem_util_pct_mean,gpu_mem_used_gib_max,gpu_power_w_mean,gpu_power_w_max,gpu_sm_clock_mhz_mean,gpu_temp_c_max,host_source,shard_images,shard_compute_s,shard_images_per_second,files
server_vit_benchmark,diffusers,20260909_144317,SR650a V4,6787P,RTX PRO 6000,,,,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,172,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,,24877,,,207.308,,,,,,,,,,,60.037,0.0600,,20697,0.8320,206.14,1043.1,12.38,24877,57.09,92.65,114.43,216.26,8.50,24,1.027,1.53,26.92,35.17,42.22,,,,,,,,,,,,,,,,,,inferred,24877,,207.308,server_vit_google_vit-base-patch16-224_interactive_20260909_144317.txt
server_vit_benchmark,diffusers,20260909_191404,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,172,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,slow,24877,,,207.308,,,,,,,,,,,61.892,0.0619,,20697,0.8320,206.14,1043.5,12.76,24877,57.81,95.42,130.34,481.08,8.72,26,1.021,1.61,28.51,36.16,44.36,172,6.09,,,,9.36,608.5,3.4,2.16,421,5.7,0.5,1.78,100.2,108.8,2422,47,inferred,24877,,207.308,server_vit_google_vit-base-patch16-224_interactive_20260909_191404.txt
server_vit_benchmark,diffusers,20260910_022302,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,172,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,16,fast,19919,,,165.992,,,,,,,,,,,57.738,0.0577,,16576,0.8322,166.00,839.6,9.58,19919,53.50,95.92,132.03,218.98,7.45,31,0.925,1.70,30.24,35.21,42.85,172,12.62,,,,19.18,1262.1,6.9,2.71,3165,5.2,0.4,1.73,97.6,107.4,2422,47,inferred,19919,,165.992,server_vit_google_vit-base-patch16-224_interactive_20260910_022302.txt
server_vit_benchmark,diffusers,20260910_031713,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,1,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,25983,,,216.525,,,,,,,,,,,55.628,0.0556,,21619,0.8320,215.27,1088.3,11.98,25983,50.11,93.69,135.65,529.24,9.43,64,1.067,1.73,27.14,39.21,44.00,172,2.71,,,,4.47,271.4,1.6,2.19,16,5.9,0.6,1.75,100.8,108.1,2422,47,inferred,25983,,216.525,server_vit_google_vit-base-patch16-224_interactive_20260910_031713.txt
server_vit_benchmark,diffusers,20260910_035614,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,2,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,27116,,,225.967,,,,,,,,,,,56.631,0.0566,,22561,0.8320,224.80,1136.7,12.73,27116,51.56,99.08,133.84,410.84,10.27,40,1.133,1.75,27.06,42.08,48.14,172,6.84,,,,9.51,684.3,4.0,2.23,28,6.0,0.6,1.77,102.2,113.9,2422,47,inferred,27116,,225.967,server_vit_google_vit-base-patch16-224_interactive_20260910_035614.txt
server_vit_benchmark,diffusers,20260910_132244,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,4,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,27116,,,225.967,,,,,,,,,,,56.384,0.0564,,22561,0.8320,224.80,1136.7,12.68,27116,50.62,97.16,140.81,544.27,10.19,79,1.112,1.76,27.12,41.86,46.06,172,15.01,,,,22.49,1501.0,8.7,2.19,52,6.2,0.7,1.78,102.3,113.6,2422,47,inferred,27116,,225.967,server_vit_google_vit-base-patch16-224_interactive_20260910_132244.txt
server_vit_benchmark,diffusers,20260910_134746,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,2,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,16,fast,24877,,,207.308,,,,,,,,,,,50.810,0.0508,,20697,0.8320,206.14,1041.2,10.47,24877,46.21,83.62,121.17,495.49,8.46,73,1.051,1.65,27.12,33.66,39.43,172,7.40,,,,15.46,740.5,4.3,2.61,44,6.1,0.7,1.76,101.0,110.7,2422,48,inferred,24877,,207.308,server_vit_google_vit-base-patch16-224_interactive_20260910_134746.txt
server_vit_benchmark,diffusers,20260910_141116,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,2,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,12,fast,24877,,,207.308,,,,,,,,,,,53.362,0.0534,,20696,0.8319,206.14,1041.7,11.00,24877,48.24,90.86,128.32,520.78,9.04,73,1.036,1.72,28.41,37.45,41.79,172,7.24,,,,12.68,724.3,4.2,2.43,36,5.9,0.7,1.78,101.0,111.7,2422,48,inferred,24877,,207.308,server_vit_google_vit-base-patch16-224_interactive_20260910_141116.txt
server_vit_benchmark,diffusers,20260910_151157,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,ILSVRC/imagenet-1k,cuda,bfloat16,disabled,,,,256,32,,,5,42,2,disabled,,,,,,0.1000,95,1,,interactive,100,5,120,5,8,fast,28301,,,235.842,,,,,,,,,,,53.600,0.0536,,23547,0.8320,234.75,1186.3,12.58,28301,49.08,91.53,125.86,394.68,10.11,41,1.072,1.69,25.46,38.86,43.25,172,6.93,,,,9.42,693.2,4.1,2.20,28,6.2,0.6,1.75,104.5,113.6,2422,50,inferred,28301,,235.842,server_vit_google_vit-base-patch16-224_interactive_20260910_151157.txt
diag_vit_inference,diffusers,20260910_152309,SR650a V4,6787P,RTX PRO 6000,,,NVIDIA RTX PRO 6000 Blackwell Server Edition,,google/vit-base-patch16-224,,,bfloat16,disabled,,,,,,,,,,"2 intra-op, 1 inter-op",,,,,,,,,1,,,,,,,8,fast,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inferred,,,,diag_vit_google_vit-base-patch16-224_20260910_152309.txt
